Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
*prog_type_to_name,20,char *prog_type_to_name( int type ),26
Map_Name,1,static const char* Map_Name(void) {,3
ar_cnt_set_dbl_notify_cnt,1,"static inline void ar_cnt_set_dbl_notify_cnt(int my_cid, int cnt, int val,",6
MyTestFunction,1,int MyTestFunction(int x),5
long,1,__inline__ static long,2
twd_save,1,static inline void twd_save(void) { },1
is_prime,3,int is_prime(int n) {,9
ints,2,"int ints(long a, unsigned long b) {",193
allocate_conv,1,void allocate_conv(void) {,4
,1,int notifier_with_return_list_notify () { return 0; },1
foo046,1,void foo046() {},1
main,2,int main(){,16
str_spn,5,"size_t str_spn( const char * s1, const char * s2 ){",14
mean,2,"double mean(double *data, const int n){",8
multi_V,1,void multi_V(),4
*str_stmt_switch,1,const char *str_stmt_switch(),4
arraySort,1,"void arraySort(int array[], int size) {",3
bow_multiplier,1,int bow_multiplier(int sval),4
adder,1,"int adder(int x, int y) {",3
GO_ldexp,5,"double GO_ldexp(double x, int n)",14
plugin_exit_file,1,void plugin_exit_file(void),5
ft_strlen,3,size_t ft_strlen(const char *str),14
omap4_cpu_resume,1,static inline void omap4_cpu_resume(void),2
choose_stepsize_db,7,"static float choose_stepsize_db(int delta_bits, float cof)",26
risdigit,2,static inline int risdigit(int c) {,3
,2,static int col_byte_big5hkscs (int col) {,3
findIndex,13,"int findIndex(int target, int *attributes, int count, int offset)",78
shl_pty_bridge_free,2,void shl_pty_bridge_free(int bridge),7
Unknown,1,int,5
InitializeSPI,1,void InitializeSPI(),4
getNextString,3,"int getNextString(char buf[62*5+3], int j) {",5
foo061,1,void foo061() {},1
,5,static inline unsigned char linear2alaw (short int linear),32
train,4,"void train(short *t, short *w, int n, int err)",11
poller_call,1,static inline void poller_call(void),3
,1,__attribute__ ((used)),6
arteUnlock,1,void arteUnlock(void) {},1
Unknown,1,int,5
check,9,int check(char *str),19
int,3,static int,8
main,1,void main(),4
validchars,14,"static int validchars(const char *string, const int numstart)",18
GameLevelFromScreen,3,int GameLevelFromScreen(int screen),13
rcu_read_lock_qsbr,1,static inline void rcu_read_lock_qsbr(void),3
test_non_identifiers,5,void test_non_identifiers() {,26
isNum,3,int isNum(char c){,9
Unknown,1,int,5
___swab16,1,static inline unsigned short ___swab16(unsigned short x),8
cg_kb_key,1,int cg_kb_key(),4
qhash,1,"inline static int qhash(char key, unsigned int start)",4
f,16,int f(int d),46
nrf53_errata_8,1,static bool nrf53_errata_8(void),6
Unknown,2,int,6
foo136,1,void foo136(int p) {},1
ffi_test_2,1,"int ffi_test_2(int x, int y) { return x + y; }",1
ft_strncmp,5,"int ft_strncmp(const char *s1, const char *s2, size_t n)",17
mxs_power_wait_pswitch,1,static inline void mxs_power_wait_pswitch(void) { },1
rom_display_header,1,static void rom_display_header(void),4
unset_dvfm_constraint,1,static void unset_dvfm_constraint(void) {},1
cat_fd,4,void cat_fd(int fd),15
getpid,1,int getpid(),4
nrf52_errata_162,1,static bool nrf52_errata_162(void),6
glp_mem_limit,1,void glp_mem_limit(int limit),4
max,2,"int max(int a, int b) { return (a < b) ? b : a; }",1
nrf51_errata_59,1,static bool nrf51_errata_59(void),6
ft_strprefix,4,"int ft_strprefix(const char *str, const char *prefix)",9
BZ2_bzlibVersion,1,const char * BZ2_bzlibVersion(void),4
is_dir,1,bool is_dir(const char* path) {,9
_nxweb_set_non_block,3,int _nxweb_set_non_block(int fd) {,6
vbat_check_cb_chain,1,int vbat_check_cb_chain(char *vbat_check_name) {return 1;},1
create_length,1,int create_length(long msec),4
crc_dsp,3,"unsigned short crc_dsp(unsigned short reg, unsigned char data_crc)",18
port_init,1,void port_init(void),4
Unknown,3,int,8
invert,1,"int invert(int x, int p, int n) {",4
xmpc_traverse_finalize,1,void xmpc_traverse_finalize(),3
dcn_bw_max,2,"unsigned int dcn_bw_max(const unsigned int arg1, const unsigned int arg2)",4
ata_sff_init,1,static inline int ata_sff_init(void),2
foo331,1,void foo331() {},1
SWI_Handler,1,void SWI_Handler(void),3
vec_dot_prod,2,"double vec_dot_prod(const double x[], const double y[], int n)",10
break_statement,2,void break_statement(),13
do_838,1,int do_838() { return 838; },1
*,1,const char *,5
menu,1,char const* menu(void){,3
,8,"int userCompare (char *pLeft, unsigned int leftSize, char *pRight,",29
,1,int isnan_d (double x) { return x != x; },1
misc_Max,2,"int misc_Max(int a, int b)",7
ehnlc_fabs,2,double ehnlc_fabs(double x),4
func4,1,int func4(void),4
unsignedshort_ignoring_signedchar,1,"unsigned short unsignedshort_ignoring_signedchar(unsigned short x, signed char y){return x;}",1
foo186,1,void foo186() {},1
is_uint,7,int is_uint(const char *str),23
unsignedshortint_ignoring_unsignedshortint,1,"unsigned short int unsignedshortint_ignoring_unsignedshortint(unsigned short int x, unsigned short int y){return x;}",1
is_palindrome,4,int is_palindrome(char li[]),19
AdjustAscii,4,unsigned char AdjustAscii(unsigned char a),10
encode_depth,6,static inline unsigned short encode_depth(float depth) {,18
func3,1,void func3() {,3
main,2,int main(),20
*str_expr_cast,1,const char *str_expr_cast(),4
zCompBufSize,1,size_t zCompBufSize(size_t uncompressedSize),5
sh_bios_gdb_detach,1,static void sh_bios_gdb_detach(void),4
negative_size,2,void negative_size(int sz) { if (sz < 0) { int buf[sz]; } },1
get_lock_config,1,unsigned char get_lock_config(unsigned char lock_what) {,5
get_volts,2,"double get_volts(int val, int zero, int range)",9
Unknown,1,int,4
Unknown,4,int,8
isLetter,4,int isLetter(int c) {,3
add_digits,2,int add_digits(int n),6
Unknown,1,int,4
*,2,const char *,13
nrf91_errata_10,1,static bool nrf91_errata_10(void),6
Unknown,2,long,12
isupper,2,int isupper(int c),4
USB_LP_IRQHandler,1,void USB_LP_IRQHandler(void),3
wait_little_field_exchange,1,void wait_little_field_exchange(const int mu) {,8
,5,int MaskForNum (int num),12
is_balanced,13,bool is_balanced(char expression[]) {,36
close_serial_device,1,int close_serial_device(int device_file) {,3
card_value,14,int card_value(char card) {,19
fun_base_v0,1,void fun_base_v0(),4
probe_video_rom,1,static inline void probe_video_rom(int roms),4
factor_iteration,2,long factor_iteration(long n),8
bool,2,static bool,5
setup_endstop_interrupts,1,void setup_endstop_interrupts(void) {,3
do_450,1,int do_450() { return 450; },1
ab2cdefghijklmnopqrstuvwxzy,1,void ab2cdefghijklmnopqrstuvwxzy() {},1
f,1,int f(int* x) {,3
MCP_HAL_LOG_GetThreadId,1,static unsigned int MCP_HAL_LOG_GetThreadId(void),8
max,2,"static inline int max(const int left, const int right)",4
nrf52_errata_20,1,static bool nrf52_errata_20(void),6
nonDotSize,4,static int nonDotSize(char *s),13
inc_zcache_pers_ate_eph,1,static inline void inc_zcache_pers_ate_eph(void) { },1
ft_isupper,2,int ft_isupper(int c),4
bdf_correct_bbx,2,"void bdf_correct_bbx(int *width, int *bbx) {",7
octeon_is_simulation,1,static inline int octeon_is_simulation(void),4
ByteSwap,1,static unsigned int ByteSwap(unsigned int x),16
int,4,static inline int,5
satuw,3,static inline int satuw(int x),9
foo590,1,void foo590() {},1
iscntrl,3,int iscntrl(int c),4
F,5,int F(int x){,18
sys_delay,1,void sys_delay(int msecs),4
dxl_makeword,1,"int dxl_makeword( int lowbyte, int highbyte )",9
sumofsquare,1,int sumofsquare(int n),4
do_904,1,int do_904() { return 904; },1
compound_interest,1,"double compound_interest(double amount, double rate, int years) {",7
Unknown,1,void,4
,4,__attribute__ ((noinline)),14
C_Utils_max_short,2,"static short C_Utils_max_short(const short item1, const short item2) { return item1 > item2 ? item1 : item2; }",1
c036,1,int c036(void) { return 0; },1
strcmp,2,"int strcmp(char * s1, char * s2)",10
unqlite_lib_ident,1,const char * unqlite_lib_ident(void),4
serial_receive_bit,1,"int serial_receive_bit(int in, int reset)",4
do_463,1,int do_463() { return 463; },1
calc_print_cost,2,"int calc_print_cost(int num, int base, int cost_table[])",12
,1,"int func1 (int a, int b)",4
signals_init,1,void signals_init(void),4
ceal_logg_init,1,void ceal_logg_init() {,3
rotateClockwise,1,void rotateClockwise() {,4
forward,3,void forward(int n) {,12
Debug_Timer_SaveConfig,1,void Debug_Timer_SaveConfig(void),4
Unknown,4,void,16
islower,2,int islower(int c),4
,2,int check_endianess () {,6
handler,1,void handler(int x),3
,2,"inline static double st_maxf (double x, double y) { return x > y ? x : y; }",1
is_directory,3,"static inline int is_directory(const char *name,",9
lockSemaphore,1,void lockSemaphore(int semaphore_id) {,3
smp_processor_id,1,static inline unsigned int smp_processor_id(void) { return 0; },1
getpgrp,1,int getpgrp(void),4
do_963,1,int do_963() { return 963; },1
MyFunction,1,int MyFunction(),4
char*,2,static char*,12
test_model,2,int test_model(),4
TryAssemble_FILE,1,int TryAssemble_FILE( void ),4
square,1,int square(int num) {,3
SK_setsockflags,3,"int SK_setsockflags(int socket, int flags) {",13
nrf52_errata_220,1,static bool nrf52_errata_220(void),6
utf8_check_first,12,int utf8_check_first(char byte),35
Unknown,1,int,5
compute_pixblt_cycles,3,"static int compute_pixblt_cycles(int left_partials, int right_partials, int full_words, int op_timing)",11
test,1,void test(int x) {,4
max_f,2,"float max_f(float a, float b)",5
dummy2,1,void dummy2(void) {,5
libtasTestFunc1,1,int libtasTestFunc1(),4
dictIdentityHashFunction,1,unsigned int dictIdentityHashFunction(unsigned int key),4
clamp_int,3,"inline int clamp_int(int val, int min, int max) {",3
symbol22_i386,1,void symbol22_i386(void) {},1
*find_strip_path,2,static char *find_strip_path( char *path ),8
scsi_handler,1,void scsi_handler(int irq),3
staticfun,1,static int staticfun() {return 1;},1
RTF_ID_Mapping,399,int RTF_ID_Mapping(int id),405
htons,1,inline unsigned short htons(unsigned short x),6
main,1,int main(),5
divide,1,"static int divide(int a, int b)",4
compareElement,2,"bool compareElement(int fstArg, int sndArg){",5
hst,1,int hst(double i) { return 1; },1
*,4,char *,14
,1,void SCSI_RST_ISR_Interrupt (void),4
port_unlock_from_isr,1,static inline void port_unlock_from_isr(void) {,3
yaffs_CountBits,3,static int yaffs_CountBits(unsigned char x),10
cube,1,int cube(int x) {,3
main,1,int main(void) {,6
ABS,2,static inline int ABS(int Val),4
*msbrk,2,char *msbrk(int size),8
fesetenv,1,int fesetenv(const fenv_t *envp),5
bin,4,"int bin(int *array, int low, int high, int key)",15
,2,int IsBlank (char C),5
set_perf_counter_pending,1,static inline void set_perf_counter_pending(void) { },1
decode_utf8_length,3,static inline int decode_utf8_length(unsigned char data),12
log_init,1,void log_init(),4
not_annotated_c_1_1,1,void not_annotated_c_1_1(){ },1
use_fixed,2,int use_fixed(int level),10
ispowof2,2,inline int ispowof2(unsigned int v){return v&&!(v&(v-1));},1
bar,1,unsigned int bar(void) {,3
isenter,1,int isenter(char buf[8]) { return buf[0] == 13; },1
dbgp_reset_prep,1,static inline int dbgp_reset_prep(void),4
,1,void Wakeup_Interrupt_Interrupt (void),4
set_pixel,6,"char* set_pixel(char* pixel,unsigned int comp, char r, char g, char b, char a){",11
blockfd,2,static inline int blockfd(int fd),5
free_conv,1,void free_conv(void) {,6
dot,2,"double dot(const double *a, const double *b, const int n)",9
left,1,int left(int i){,3
handle_client,1,void handle_client(int clientfd),5
bool,6,static bool,9
*get_filename_ext,3,const char *get_filename_ext(const char *filename) {,5
*langinfo_mon_4,1,char *langinfo_mon_4() {,3
nrf52_errata_30,1,static bool nrf52_errata_30(void),6
main,2,int main(void),4
str_ncmp,4,"int str_ncmp(char *src1, char *src2, int n)",18
machine_interrupt_address,2,int machine_interrupt_address(int int_num),7
dummy_function,1,void dummy_function(void) {,3
oh_display_init,1,"int oh_display_init(int edge, int frame_width, int frame_height){",3
hashname,2,static __inline__ int hashname(const char *pt) {,13
f,1,void f() {,7
dummyaudio_SetSpeedFactor,1,void dummyaudio_SetSpeedFactor(int percent),4
catch_alrm,1,static void catch_alrm(int x) {,3
getktid,1,static int getktid(),8
plus,1,"unsigned int plus(unsigned int a, unsigned int b) {",3
compact_gap,1,static inline unsigned long compact_gap(unsigned int order),5
GifIMin,2,"int GifIMin(int l, int r) { return l<r?l:r; }",1
render,1,"void render(int xori,int yori,int xres,int yres)",4
check,3,"unsigned int check(int *arr, int i, int j)",14
GetInterruptVector,1,unsigned char GetInterruptVector(),4
type_tags_placeholder,1,void type_tags_placeholder(void) { },1
str_len_04,12,size_t str_len_04(const char* s),47
ft_count_word,9,static int ft_count_word(char *str),20
get_shmem_pointer,1,void * get_shmem_pointer(int shmid) {,3
MacroTune,1,"void MacroTune(int devHandle, int channel){}",1
converttemp,1,double converttemp(int fahr) {,3
addDigits,3,int addDigits(int num) {,12
int,1,static inline int,4
division,1,"double division(double zahl1, double zahl2){",3
init_timer,1,static __inline void init_timer() {},1
funca,2,void funca(void),9
int,2,static int,10
Unknown,1,static,4
do_992,1,int do_992() { return 992; },1
harmonicAvg,2,"float harmonicAvg(int numbers[], int numbersCount) {",12
__attribute__,1,"static void __attribute__((__warning__(""curl_easy_setopt expects a curl_write_callback argument for this option""))) __attribute__((__unused__)) __attribute__((__noinline__)) _curl_easy_setopt_err_write_callback(void) { __asm__(""""); }",1
next_largest_idx,3,int next_largest_idx(int permutation[]),8
HelpItem105,1,int HelpItem105( void ),4
jsY_iswhite,6,int jsY_iswhite(int c),4
main,1,int main(void) {,5
,2,int is_digit (char c) {,3
Unknown,2,uintptr_t,10
dummyinput_RomClosed,1,void dummyinput_RomClosed(void),3
pe_utils_round_up,2,"int pe_utils_round_up(int num_to_round, int multiple) {",5
min,3,"double min(double * values, int length) {",9
string_all_permutation,1,void string_all_permutation(char *s),3
parasail_sse2_dummy,1,int parasail_sse2_dummy(),4
main,1,int main(void) {,5
,1,void input_end ( ),4
main,1,int main(void),4
minimum,2,"int minimum(int a, int b) {",7
f,1,int f(int n),4
,1,void timespec_now (struct timespec *ts),4
tegra_edp_notify_gpu_load,1,static inline void tegra_edp_notify_gpu_load(,2
parent,1,static inline int parent(int i) {,3
init_usb_hardware,1,void init_usb_hardware(void) {,2
NW_DeviceRelease,1,void NW_DeviceRelease(int *fd),4
NextTableBitSize,3,"static inline int NextTableBitSize(const int* const count,",11
*,6,char *,16
main,1,int main(void) {,3
*raptorial_def_status_file,1,const char *raptorial_def_status_file(void){,3
sign_wrapper,1,inline double sign_wrapper(double * arg_list) {,4
f,4,int f() {,14
,1,int IsAscii (char C),5
cos,1,double cos(double x),4
first_instance,7,"int first_instance(char *A, char *B){",17
,1,"float obdConvert_06_09 (unsigned int A, unsigned int B, unsigned int C, unsigned int D) {",3
,1,void (Memento_startLeaking)(void),3
toUnderLine,2,char toUnderLine(char c) {,7
should_contain_number_lines,3,"bool should_contain_number_lines(char *arg, bool orig)",9
pfasta_threadsafe,1,int pfasta_threadsafe() {,3
is_valid_port,2,static int is_valid_port(unsigned int port) {,3
nms_clear_input,2,static void nms_clear_input(void) {,10
function,12,"int function(int x, int y)",31
tstat_new_logdir,1,"void tstat_new_logdir(char *filename,",5
peek,1,int peek(int *s),4
link_error7,1,void link_error7() {},1
Unknown,1,int,5
,3,static int col_byte_uhc_1 (int col) {,3
main,5,int main(void) {,21
Unknown,30,int,60
do_362,1,int do_362() { return 362; },1
inter_storage_sql_final,1,void inter_storage_sql_final(void),4
,2,pid_t tcgetpgrp (int fd),8
os_daemonize,1,int os_daemonize(const char *pid_file),4
main,2,int main(){,9
int_min,2,"static __inline__ int int_min(int a, int b)",4
nrf52_errata_87,1,static bool nrf52_errata_87(void),6
unsignedshortint_ignoring_unsignedint,1,"unsigned short int unsignedshortint_ignoring_unsignedint(unsigned short int x, unsigned int y){return x;}",1
__attribute__,3,"static int __attribute__((noinline, unused)) checkVs (const short *v, const short *e, int n) { int i; int err = 0; for (i = 0; i < n; i++) if (v[i] != e[i]) { err++; ; } return err; }",1
page_align,1,static inline unsigned long page_align(unsigned long addr),5
foo074,1,void foo074(int p) {},1
split_radix_permutation,4,"int split_radix_permutation(int i, int n, int inverse)",10
foo234,1,void foo234(int p) {},1
set_fdflag,2,"void set_fdflag(int fd, int newflag, int set) {",10
Unknown,1,int,6
test45_Test3_targetInit__I,1,void test45_Test3_targetInit__I() {,2
strlen,2,size_t strlen(const char* str) {,5
buserr_except,1,void buserr_except(){},1
isschar,6,int isschar(char input_char){,8
gcd,4,"int gcd(int a, int b)",9
average,1,"float average(float first, float second){",8
,1,int getAltSys (int pin),4
parity,3,"int parity(int q, int size)",13
http_parser_version,1,unsigned long http_parser_version(void),6
tick_shutdown_broadcast_oneshot,1,static inline void tick_shutdown_broadcast_oneshot(unsigned int *cpup) { },1
,1,void nn_backtrace_print (void),3
zfcp_reqlist_hash,1,static inline int zfcp_reqlist_hash(unsigned long req_id),4
irq_cannonicalize,1,static __inline__ int irq_cannonicalize(int irq),4
foo514,1,void foo514() {},1
bnode_colored_value,1,"size_t bnode_colored_value(size_t index, size_t color_bit)",4
foo815,1,void foo815() {},1
char,1,unsigned char,5
UartPrintfNull,1,void UartPrintfNull(void),3
